category,image_url,number_of_product_in_a_package,price_gross,price_net,product_title,product_url,quantity_in_stock,size,status
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/szp51-1-600x600.jpg,,"36,28","29,50",CR-3369 BLACK,https://e-roberto.eu/sklep/cr-3369-black/,360,,
,,,,,,,0,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/unnamed.jpg,,"48,59","39,50",M331 BLACK MIRROR,https://e-roberto.eu/sklep/m331-black-mirror/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-1-63-600x601.jpg,,"53,51","43,50",C729 BLACK MIRROR,https://e-roberto.eu/sklep/c729-black-mirror/,384,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-20_19-20-50-067.jpg,,"65,8","53,50",UK75 BLUE,https://e-roberto.eu/sklep/uk75-blue/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/271989279_1287158041766986_3893674570289634766_n.jpg,,"85,49","69,50",NS250 KHAKI,https://e-roberto.eu/sklep/ns250-khaki/,396,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/IMG_0755.jpg,,"73,19","59,50",M599 CAMEL,https://e-roberto.eu/sklep/m599-camel/,348,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/A5602.jpg,,"46,13","37,50",A5602-63 KHAKI,https://e-roberto.eu/sklep/a5602-63-khaki/,924,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/ar-bottines-noires-a-grosse-chaine-doree-et-semelle-crantee-13752_49168.jpg,,"73,19","59,50",M599 BLACK,https://e-roberto.eu/sklep/m599-black/,912,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/271986053_1287158065100317_4263727291993204401_n.jpg,,"85,49","69,50",NS250 BEIGE,https://e-roberto.eu/sklep/ns250-beige/,396,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-20_19-22-20-603.jpg,,"65,8","53,50",UK75 BLACK,https://e-roberto.eu/sklep/uk75-black/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/271982797_1287158051766985_8847084362355741238_n.jpg,,"85,49","69,50",NS250 GREY,https://e-roberto.eu/sklep/ns250-grey/,396,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/271958280_1287158055100318_2291206930343408611_n.jpg,,"85,49","69,50",NS250 BLACK,https://e-roberto.eu/sklep/ns250-black/,396,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-09_14-17-01-541.jpg,,"28,91","23,50",R-272 BLACK,https://e-roberto.eu/sklep/r-272-black/,456,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/16-508-12-1-600x600.jpg,,"48,59","39,50",KL-730 BLACK,https://e-roberto.eu/sklep/kl-730-black/,948,,
